hour,actual,predicted,residual
811,16.1,29.641012,13.541012
812,11.4,29.689049,18.28905
813,9.7,29.732018,20.032017
814,12.4,29.755379,17.35538
815,10.1,29.770704,19.670704
816,8.099999,29.774052,21.674053
817,5.2999997,29.768337,24.468338
818,4.8,29.767,24.967
819,3.3,29.775625,26.475626
820,4.2000003,29.802164,25.602163
821,5.2,29.839792,24.639793
822,8.6,29.87271,21.272709
823,6.0,29.87571,23.87571
824,7.4,29.856867,22.456867
825,8.3,29.819397,21.519398
826,6.7,29.773127,23.073128
827,3.0,29.729181,26.729181
828,4.9,29.694275,24.794275
829,3.7,29.665878,25.965878
830,5.2999997,29.646637,24.346638
831,3.6000001,29.653315,26.053314
832,3.7,29.687605,25.987604
833,8.5,29.742525,21.242525
834,9.0,29.803848,20.803848
835,7.4,29.855942,22.455942
836,6.3,29.894577,23.594578
837,11.8,29.926691,18.12669
838,12.299999,29.948635,17.648636
839,19.4,29.968029,10.568029
840,22.2,29.974367,7.7743664
841,29.1,29.988289,0.8882885
842,26.8,30.008717,3.2087173
843,26.4,30.035608,3.6356087
